model,split,horizon_min,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
gbm_n300,test,30,89.05560458958517,7.747131509267431,3.197263901147396,40360.0,3511.0,1449.0,45320
gbm_n300,test,60,79.17255075022065,12.601500441306266,8.225948808473081,35881.0,5711.0,3728.0,45320
gbm_n300,test,90,76.95278022947926,13.375992939099737,9.671226831421006,34875.0,6062.0,4383.0,45320
gru_c2_zwh30a,test,30,83.87246248896734,13.0648720211827,3.062665489849956,38011.0,5921.0,1388.0,45320
gru_c2_zwh30a,test,60,78.02956751985879,16.434245366284202,5.536187113857017,35363.0,7448.0,2509.0,45320
gru_c2_zwh30a,test,90,76.01279788172992,16.802736098852602,7.184466019417476,34449.0,7615.0,3256.0,45320
persistence,test,30,91.76743159752868,5.732568402471316,2.5,41589.0,2598.0,1133.0,45320
persistence,test,60,85.39717563989409,9.45278022947926,5.150044130626655,38702.0,4284.0,2334.0,45320
persistence,test,90,81.88658428949691,11.654898499558694,6.458517210944396,37111.0,5282.0,2927.0,45320
rf_n300,test,30,87.2639011473963,8.10017652250662,4.635922330097087,39548.0,3671.0,2101.0,45320
rf_n300,test,60,78.13989408649603,13.2171226831421,8.642983230361871,35413.0,5990.0,3917.0,45320
rf_n300,test,90,75.60017652250662,14.406443071491616,9.993380406001766,34262.0,6529.0,4529.0,45320
ridge_a0.1,test,30,87.10503089143866,9.902912621359222,2.9920564872021185,39476.0,4488.0,1356.0,45320
ridge_a0.1,test,60,79.2828773168579,14.558693733451015,6.158428949691086,35931.0,6598.0,2791.0,45320
ridge_a0.1,test,90,76.19152691968226,15.392762577228597,8.415710503089144,34530.0,6976.0,3814.0,45320
step6_v2_pers_resid,test,30,90.13459841129745,7.36540158870256,2.5,40849.0,3338.0,1133.0,45320
step6_v2_pers_resid,test,60,80.46337157987644,13.629744042365402,5.906884377758164,36466.0,6177.0,2677.0,45320
step6_v2_pers_resid,test,90,75.91791703442189,15.933362753751103,8.148720211827008,34406.0,7221.0,3693.0,45320
step6_v2_pers_resid_cgega_ckpt,test,30,89.54104148278905,8.097969991173875,2.3609885260370698,40580.0,3670.0,1070.0,45320
step6_v2_pers_resid_cgega_ckpt,test,60,79.64474845542807,14.962488967343337,5.392762577228597,36095.0,6781.0,2444.0,45320
step6_v2_pers_resid_cgega_ckpt,test,90,75.8693733451015,16.522506619593997,7.608120035304501,34384.0,7488.0,3448.0,45320
